Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,Sub-Sample,Ferm Condition,Storage form,Temperature (°C),Container,Bulking,Desiccant,Quantity (g),Sample location,Week 0 CFU/g,Week 2 CFU/g,Week 4 CFU/g,Week 8 CFU/g,Week 12 CFU/g,decay_rate_fitted,Rsquared_fitted,decay_rate_errbar,decay_rate_lower95interval,decay_rate_upper95interval,estimate_day_2e10,Week 0 Aw,Week 2 Aw,Week 4 Aw,Week 8 Aw,Week 12 Aw,,,,
51,22PT1117-8,FDL-105B-T10,Klebsiella variicola,PVT70%,pellet_4_mylar_n,"T+P, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,6.38E+11,,3.88E+11,,,-0.007739611,1,,,,1.94E+02,0.15,,,,,,,,
52,22PT1117-8,FDL-105B-T10,Klebsiella variicola,PVT70%,bulked powder_4_mylar_n,"T+P, high EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.77E+11,,1.57E+11,,,-0.008834743,1,,,,1.29E+02,0.367,,,,,,,,
53,22PT1117-8,FDL-105B-T10,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.77E+11,,8.44E+10,5.45E+10,3.17E+10,-0.010776637,0.94463953,0.003615623,-0.01439226,-0.007161014,1.06E+02,0.367,,0.309,0.315,0.325,,,,
54,22PT1117-9,FDL-105B-T11,Klebsiella variicola,DSR,pellet_4_mylar_n,"T+P, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,4.14E+11,,3.15E+11,,,-0.004226729,1,,,,3.11E+02,0.1,,,,,,,,
55,22PT1117-9,FDL-105B-T11,Klebsiella variicola,DSR,bulked powder_4_mylar_n,"T+P, high EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.32E+11,,1.57E+11,,,-0.006011768,1,,,,1.77E+02,0.368,,,,,,,,
56,22PT1117-9,FDL-105B-T11,Klebsiella variicola,DSR,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.32E+11,,4.64E+10,,,-0.024949838,1,,,,4.26E+01,0.368,,0.289,,,,,,
57,22PT1202-2,FDL-105B-T12,Kosakonia sacchari,PVT70%,pellet_4_mylar_n,"T+P, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,9.88E+10,,8.66E+10,,,-0.002037089,1,,,,3.41E+02,n/m,,,,,,,,
58,22PT1202-2,FDL-105B-T12,Kosakonia sacchari,PVT70%,bulked powder_4_mylar_n,"T+P, high EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.95E+10,,6.42E+10,,,0.007530477,1,,,,-3.93E+01,0.343,,,,,,,,
59,22PT1202-2,FDL-105B-T12,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.95E+10,,2.62E+10,1.14E+10,8.02E+09,-0.008710583,0.974324183,0.001959705,-0.010670288,-0.006750878,3.40E+01,0.343,,0.306,0.294,0.314,,,,
60,22PT1216-3,FDL-105C-T13,Klebsiella variicola,DSR,pellet_4_mylar_n,"Glucose, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.31E+11,,,,,,,,,,#DIV/0!,0.05,,,,,,,,
