ID,FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dry in-house,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
66,23PT0227-8,FDL-111A-T04,Kosakonia sacchari,2/24/23,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48,2.61E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/24/23,PVT380,380,22,0.05,3/30/23,FALSE,"white pellets, free-flowing",Foil pouch,0.09,2.62E+11,0.285,28.61,-0.54
67,23PT0227-8,FDL-111B-T08,Kosakonia sacchari,2/24/23,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48,2.61E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/27/23,ESL1010,990,25,0.05,3/31/23,FALSE,"brown/white speckled, free-flowing",Foil pouch,0.35,3.27E+11,0.285,35.71,-0.45
68,23PT0227-4,FDL-111C-T10,Kosakonia sacchari,2/24/23,P010-23-Y011,14L,Tryptone only,48,1.83E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/30/23,ESL1020,680,25,0.05,4/4/23,FALSE,"orangey-tan, free-flowing, few sticky clumps",Foil pouch,0.4,1.44E+11,0.285,22.43,-0.65
69,23PT0227-6,FDL-111C-T11,Kosakonia sacchari,2/24/23,P010-23-Y012,14L,Peptone only,48,1.96E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/30/23,ESL1020,680,25,0.05,4/4/23,FALSE,"orangey-tan, free-flowing, few sticky clumps",Foil pouch,0.41,2.74E+11,0.285,39.84,-0.4
70,23PT0227-8,FDL-111C-T12,Kosakonia sacchari,2/24/23,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48,2.61E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/30/23,ESL1020,680,25,0.05,4/4/23,FALSE,"tan pellets, free-flowing",Foil pouch,0.23,2.77E+11,0.285,30.25,-0.52
71,IFF12282022-10,FDL-111D-T13,Kosakonia sacchari,,Dec-CR,,Glucose,,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/3/23,ESL1130,530,30,0.035,4/5/23,FALSE,"brown, collapsed pellets",Foil pouch,0.42,3.01E+11,0.285,,
72,23PT0227-4,FDL-111D-T14,Kosakonia sacchari,2/24/23,P010-23-Y011,14L,Tryptone only,48,1.83E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/3/23,ESL1130,530,30,0.035,4/5/23,FALSE,"tan pellets, free-flowing",Foil pouch,0.24,2.84E+11,0.285,44.23,-0.35
73,23PT0227-6,FDL-111D-T15,Kosakonia sacchari,2/24/23,P010-23-Y012,14L,Peptone only,48,1.96E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/3/23,ESL1130,530,30,0.035,4/5/23,FALSE,"medium-tan pellets, free-flowing",Foil pouch,0.26,3.77E+11,0.285,54.82,-0.26
74,23PT0227-8,FDL-111D-T16,Kosakonia sacchari,2/24/23,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48,2.61E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/3/23,ESL1130,530,30,0.035,4/5/23,FALSE,"tan pellets, free-flowing",Foil pouch,0.12,1.88E+11,0.285,20.53,-0.69
75,23PT0227-4,FDL-111EF-T18,Kosakonia sacchari,2/24/23,P010-23-Y011,14L,Tryptone only,48,1.83E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/5/23,ESL1230,530,22,0.065,4/12/23,FALSE,"medium-tan pellets, free-flowing",Foil pouch,0.29,2.51E+11,0.285,39.09,-0.41
76,23PT0227-6,FDL-111EF-T19,Kosakonia sacchari,2/24/23,P010-23-Y012,14L,Peptone only,48,1.96E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/5/23,ESL1230,530,22,0.065,4/12/23,FALSE,"medium-tan/white speckled pellets, free-flowing",Foil pouch,0.32,3.46E+11,0.285,50.31,-0.3
77,23PT0227-8,FDL-111EF-T20,Kosakonia sacchari,2/24/23,P010-23-Y012-Con,14L,"Peptone only, upconcentrated",48,2.61E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/5/23,ESL1230,530,22,0.065,4/12/23,FALSE,"tan pellets, free-flowing",Foil pouch,0.14,3.00E+11,0.285,32.76,-0.48
78,IFF12282022-11,FDL-111G-T21,Kosakonia sacchari,,Dec-CR,,Glucose,,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/7/23,ESL1140,380,30,0.035,4/12/23,FALSE,"medium-tan/white speckled pellets, free-flowing; small particles",Foil pouch,0.15,3.38E+11,0.285,,
79,23PT0227-4,FDL-111G-T22,Kosakonia sacchari,2/24/23,P010-23-Y011,14L,Tryptone only,48,1.83E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,4/7/23,ESL1140,380,30,0.035,4/12/23,FALSE,"tan pelelts, free-flowing",Foil pouch,0.11,2.32E+11,0.285,36.13,-0.44
