FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
22PT1117-4,FDL-105D-T21,Kosakonia sacchari,2022-11-17,P080-22-Y042,14L,"Potato peptone only, less EPS, pH control",48.0,132000000000.0,0.0,2022-11-17,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-01-06,OFD9-380,380,53.0,,2023-01-11 00:00:00,"tannish, free-flowing pellets, no dust",Foil pouch,0.08,50900000000.0,0.38,14.65,-0.83
23PT0119-2,105EF-T22,Kosakonia sacchari,2023-01-19,P010-23-Y001,14L,"repeat of P080-22-Y005, tryptone + potato peptone",48.0,142000000000.0,0.0,2023-01-19,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,"brown/white speckled; free-flowing pellets, chunks; little/no dust",Foil pouch,0.22,144000000000.0,0.285,28.9,-0.54
23PT0119-3,105EF-T23,Kosakonia sacchari,2023-01-19,P010-23-Y001,14L,"repeat of P080-22-Y005, tryptone + potato peptone",48.0,142000000000.0,0.0,2023-01-19,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,"brown/white speckled; free-flowing pellets, some chunks; no dust",Foil pouch,0.2,111000000000.0,0.342,26.73,-0.57
23PT0119-5,105EF-T24,Kosakonia sacchari,2023-01-19,P010-23-Y002,14L,tryptone only,48.0,152000000000.0,0.0,2023-01-19,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,"orangey-tan/white speckled; free-flowing pellets, some chunks; little/no dust",Foil pouch,0.23,270000000000.0,0.285,50.62,-0.3
23PT0119-6,105EF-T25,Kosakonia sacchari,2023-01-19,P010-23-Y002,14L,tryptone only,48.0,152000000000.0,0.0,2023-01-19,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,"orangey-tan/white speckled; free-flowing pellets, some chunks; little/no dust",Foil pouch,0.14,168000000000.0,0.342,37.8,-0.42
23PT0119-8,105EF-T26,Klebsiella variicola,2023-01-19,P010-23-Y003,14L,"repeat of P080-22-Y007, tryptone + potato peptone",48.0,334000000000.0,0.0,2023-01-19,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,brown/white specked; free-flowing pellets; warm/meltback spot near thermocouple,Foil pouch,0.29,407000000000.0,0.285,34.73,-0.46
23PT0119-9,105EF-T27,Klebsiella variicola,2023-01-19,P010-23-Y003,14L,"repeat of P080-22-Y007, tryptone + potato peptone",48.0,334000000000.0,0.0,2023-01-19,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,"brown/white speckled; free-flowing pellets, some chunks; no dust",Foil pouch,0.23,395000000000.0,0.342,40.45,-0.39
23PT0119-12,105EF-T29,Klebsiella variicola,2023-01-19,P010-23-Y004,14L,tryptone only,48.0,346000000000.0,0.0,2023-01-19,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-01-20,PVT090-A0,110-580,53.0,,2023-01-26 00:00:00,brown/white speckled; softened cake of pellets and large chunks,Foil pouch,0.36,232000000000.0,0.342,22.93,-0.64
23PT0119-7,105G-T30,Klebsiella variicola,2023-01-19,P010-23-Y003,14L,"repeat of P080-22-Y007, tryptone + potato peptone",48.0,334000000000.0,0.0,2023-01-19,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-01-20,OFD9-380,380,53.0,,2023-01-26 00:00:00,brown; friable cake; some dust,Foil pouch,0.2,338000000000.0,0.38,38.46,-0.41
23PT0119-10,105G-T31,Klebsiella variicola,2023-01-19,P010-23-Y004,14L,tryptone only,48.0,346000000000.0,0.0,2023-01-19,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-01-20,OFD9-380,380,53.0,,2023-01-26 00:00:00,"brown; friable cake, clumps, pellets",Foil pouch,0.2,217000000000.0,0.38,23.83,-0.62
